run_id,timestamp,dataset,n_samples,n_features,imbalance_ratio,ir_group,method,method_family,base_classifier,ensemble_size,tuning_mode,fold,metric,value,fit_seconds,status,notes
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,1,auprc,0.5515151515151515,0.0223834514617919,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,1,macro_f1,0.7461538461538462,0.0223834514617919,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,1,balanced_accuracy,0.7727272727272727,0.0223834514617919,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,2,auprc,0.44375,0.0218644142150878,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,2,macro_f1,0.6666666666666667,0.0218644142150878,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,2,balanced_accuracy,0.6909090909090909,0.0218644142150878,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,3,auprc,0.4180555555555555,0.0218746662139892,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,3,macro_f1,0.6190476190476191,0.0218746662139892,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,3,balanced_accuracy,0.6727272727272727,0.0218746662139892,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,4,auprc,0.4522727272727272,0.0214600563049316,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,4,macro_f1,0.681063122923588,0.0214600563049316,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,4,balanced_accuracy,0.6863636363636363,0.0214600563049316,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,5,auprc,0.3295454545454545,0.0161347389221191,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,5,macro_f1,0.4554554554554554,0.0161347389221191,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,decision_tree,10,library_defaults,5,balanced_accuracy,0.4653679653679653,0.0161347389221191,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,1,auprc,0.6434786757243132,0.0250711441040039,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,1,macro_f1,0.6590909090909091,0.0250711441040039,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,1,balanced_accuracy,0.6590909090909091,0.0250711441040039,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,2,auprc,0.6508663558663558,0.0275235176086425,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,2,macro_f1,0.7380116959064327,0.0275235176086425,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,2,balanced_accuracy,0.7318181818181818,0.0275235176086425,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,3,auprc,0.5176948051948052,0.0264818668365478,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,3,macro_f1,0.5195195195195195,0.0264818668365478,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,3,balanced_accuracy,0.55,0.0264818668365478,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,4,auprc,0.6498067283593599,0.0281438827514648,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,4,macro_f1,0.6267232237539766,0.0281438827514648,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,4,balanced_accuracy,0.6409090909090909,0.0281438827514648,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,5,auprc,0.4581373341647115,0.0300636291503906,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,5,macro_f1,0.4554554554554554,0.0300636291503906,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,rus,resampling,logistic_regression,10,library_defaults,5,balanced_accuracy,0.4653679653679653,0.0300636291503906,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,enn,resampling,decision_tree,10,library_defaults,1,auprc,0.4937611408199643,0.0302817821502685,ok,
conf_v1,2026-09-25 13:16:27,mc2,161,39,2.0961538461538463,2-5,enn,resampling,decision_tree,10,library_defaults,1,macro_f1,0.6898496240601504,0.0302817821502685,ok,
