classifier,metric,dataset,ensemble_method,base_score,ensemble_score,gain,improved,equal,worse
decision_tree,auprc,Credit_Approval_Classification,spe,0.36937934733375627,0.5375500794034529,0.16817073206969663,True,False,False
decision_tree,auprc,Credit_Approval_Classification,ubag,0.36937934733375627,0.5403411326217918,0.17096178528803557,True,False,False
decision_tree,auprc,Credit_Approval_Classification,obag,0.36937934733375627,0.544048325420288,0.17466897808653176,True,False,False
decision_tree,auprc,Credit_Approval_Classification,sbag,0.36937934733375627,0.5578479337067963,0.18846858637304004,True,False,False
decision_tree,auprc,JapaneseVowels,spe,0.7896276302682546,0.9898879160890548,0.20026028582080024,True,False,False
decision_tree,auprc,JapaneseVowels,ubag,0.7896276302682546,0.9449606210634395,0.15533299079518492,True,False,False
decision_tree,auprc,JapaneseVowels,obag,0.7896276302682546,0.9686825566452745,0.17905492637701992,True,False,False
decision_tree,auprc,JapaneseVowels,sbag,0.7896276302682546,0.9688866680294579,0.17925903776120333,True,False,False
decision_tree,auprc,SPECTF,spe,0.6123376623376624,0.843386889150047,0.2310492268123846,True,False,False
decision_tree,auprc,SPECTF,ubag,0.6123376623376624,0.7998725868156085,0.18753492447794606,True,False,False
decision_tree,auprc,SPECTF,obag,0.6123376623376624,0.8422173127990303,0.22987965046136793,True,False,False
decision_tree,auprc,SPECTF,sbag,0.6123376623376624,0.8451556186591999,0.23281795632153746,True,False,False
decision_tree,auprc,adult,spe,0.4433408647645402,0.676578225289345,0.23323736052480476,True,False,False
decision_tree,auprc,adult,ubag,0.4433408647645402,0.6627854741266743,0.2194446093621341,True,False,False
decision_tree,auprc,adult,obag,0.4433408647645402,0.665134555459859,0.2217936906953188,True,False,False
decision_tree,auprc,adult,sbag,0.4433408647645402,0.6626504644114186,0.2193095996468784,True,False,False
decision_tree,auprc,bank-marketing,spe,0.28594166703113516,0.5142955590613082,0.22835389203017303,True,False,False
decision_tree,auprc,bank-marketing,ubag,0.28594166703113516,0.5234776994830808,0.2375360324519456,True,False,False
decision_tree,auprc,bank-marketing,obag,0.28594166703113516,0.5171919650233792,0.231250297992244,True,False,False
decision_tree,auprc,bank-marketing,sbag,0.28594166703113516,0.5185354336011107,0.2325937665699755,True,False,False
decision_tree,auprc,blood-transfusion-service-center,spe,0.29545320677779097,0.4116139071566172,0.11616070037882625,True,False,False
decision_tree,auprc,blood-transfusion-service-center,ubag,0.29545320677779097,0.41909993441838456,0.12364672764059359,True,False,False
decision_tree,auprc,blood-transfusion-service-center,obag,0.29545320677779097,0.38163031513864965,0.08617710836085868,True,False,False
decision_tree,auprc,blood-transfusion-service-center,sbag,0.29545320677779097,0.3721924659410477,0.07673925916325675,True,False,False
decision_tree,auprc,haberman,spe,0.297805971829063,0.3888854015770586,0.0910794297479956,True,False,False
decision_tree,auprc,haberman,ubag,0.297805971829063,0.3779634927688346,0.08015752093977163,True,False,False
decision_tree,auprc,haberman,obag,0.297805971829063,0.38331056313900674,0.08550459130994376,True,False,False
decision_tree,auprc,haberman,sbag,0.297805971829063,0.39919940405085647,0.10139343222179348,True,False,False
decision_tree,auprc,ibm-employee-attrition,spe,0.21722965950414302,0.3555105308886674,0.13828087138452438,True,False,False
decision_tree,auprc,ibm-employee-attrition,ubag,0.21722965950414302,0.43242586361388613,0.2151962041097431,True,False,False
decision_tree,auprc,ibm-employee-attrition,obag,0.21722965950414302,0.41356109902208066,0.19633143951793763,True,False,False
decision_tree,auprc,ibm-employee-attrition,sbag,0.21722965950414302,0.43497895549036747,0.21774929598622444,True,False,False
decision_tree,auprc,ilpd-numeric,spe,0.33105891965982187,0.500908901631844,0.1698499819720221,True,False,False
decision_tree,auprc,ilpd-numeric,ubag,0.33105891965982187,0.47622631563204737,0.1451673959722255,True,False,False
decision_tree,auprc,ilpd-numeric,obag,0.33105891965982187,0.4636822923057492,0.13262337264592733,True,False,False
decision_tree,auprc,ilpd-numeric,sbag,0.33105891965982187,0.45930201441848684,0.12824309475866497,True,False,False
decision_tree,auprc,kc1,spe,0.24965380427566147,0.4245455175559318,0.1748917132802703,True,False,False
decision_tree,auprc,kc1,ubag,0.24965380427566147,0.4024909890046543,0.15283718472899283,True,False,False
decision_tree,auprc,kc1,obag,0.24965380427566147,0.3987779105324759,0.14912410625681444,True,False,False
decision_tree,auprc,kc1,sbag,0.24965380427566147,0.41943798829119794,0.16978418401553647,True,False,False
decision_tree,auprc,law-school-admission-bianry,spe,1.0,1.0,0.0,False,True,False
decision_tree,auprc,law-school-admission-bianry,ubag,1.0,1.0,0.0,False,True,False
decision_tree,auprc,law-school-admission-bianry,obag,1.0,1.0,0.0,False,True,False
decision_tree,auprc,law-school-admission-bianry,sbag,1.0,1.0,0.0,False,True,False
decision_tree,auprc,mc2,spe,0.4108096070596071,0.5501364202166601,0.13932681315705298,True,False,False
decision_tree,auprc,mc2,ubag,0.4108096070596071,0.5230141850112524,0.11220457795164529,True,False,False
decision_tree,auprc,mc2,obag,0.4108096070596071,0.5716000942640678,0.16079048720446065,True,False,False
decision_tree,auprc,mc2,sbag,0.4108096070596071,0.6709284333444447,0.2601188262848376,True,False,False
decision_tree,auprc,pc4,spe,0.304653774359552,0.6023307727961662,0.2976769984366142,True,False,False
decision_tree,auprc,pc4,ubag,0.304653774359552,0.5876889402785231,0.28303516591897115,True,False,False
decision_tree,auprc,pc4,obag,0.304653774359552,0.6134663097497144,0.3088125353901624,True,False,False
decision_tree,auprc,pc4,sbag,0.304653774359552,0.5825492683837158,0.2778954940241638,True,False,False
decision_tree,auprc,phoneme,spe,0.6754543092374465,0.8622928573245048,0.18683854808705824,True,False,False
decision_tree,auprc,phoneme,ubag,0.6754543092374465,0.8419249791440027,0.16647066990655612,True,False,False
decision_tree,auprc,phoneme,obag,0.6754543092374465,0.860448751815983,0.18499444257853648,True,False,False
decision_tree,auprc,phoneme,sbag,0.6754543092374465,0.8630772819478215,0.18762297271037498,True,False,False
decision_tree,auprc,planning-relax,spe,0.27697347697347696,0.34438638365175794,0.06741290667828098,True,False,False
decision_tree,auprc,planning-relax,ubag,0.27697347697347696,0.286583400415505,0.009609923442028045,True,False,False
decision_tree,auprc,planning-relax,obag,0.27697347697347696,0.3278868636284325,0.05091338665495554,True,False,False
decision_tree,auprc,planning-relax,sbag,0.27697347697347696,0.31459075135823833,0.03761727438476137,True,False,False
decision_tree,auprc,thoracic-surgery,spe,0.16794868252315054,0.224190519486431,0.05624183696328047,True,False,False
decision_tree,auprc,thoracic-surgery,ubag,0.16794868252315054,0.24816877819841335,0.08022009567526281,True,False,False
decision_tree,auprc,thoracic-surgery,obag,0.16794868252315054,0.20600478323900032,0.03805610071584978,True,False,False
decision_tree,auprc,thoracic-surgery,sbag,0.16794868252315054,0.23966148997605868,0.07171280745290814,True,False,False
decision_tree,auprc,vehicle,spe,0.8863477585348857,0.9867692004641633,0.1004214419292776,True,False,False
decision_tree,auprc,vehicle,ubag,0.8863477585348857,0.96873315072545,0.08238539219056429,True,False,False
decision_tree,auprc,vehicle,obag,0.8863477585348857,0.9748117378577028,0.08846397932281713,True,False,False
decision_tree,auprc,vehicle,sbag,0.8863477585348857,0.9661001997147777,0.079752441179892,True,False,False
decision_tree,auprc,vertebra-column,spe,0.5723718651041305,0.7915531956238311,0.21918133051970057,True,False,False
decision_tree,auprc,vertebra-column,ubag,0.5723718651041305,0.7986946398963435,0.22632277479221297,True,False,False
decision_tree,auprc,vertebra-column,obag,0.5723718651041305,0.8082500071086409,0.2358781420045104,True,False,False
decision_tree,auprc,vertebra-column,sbag,0.5723718651041305,0.800959417200137,0.22858755209600645,True,False,False
decision_tree,auprc,vowel,spe,0.7008467023172905,0.9669958482445583,0.2661491459272678,True,False,False
decision_tree,auprc,vowel,ubag,0.7008467023172905,0.8645511391725439,0.16370443685525338,True,False,False
decision_tree,auprc,vowel,obag,0.7008467023172905,0.9418610918951476,0.24101438957785704,True,False,False
decision_tree,auprc,vowel,sbag,0.7008467023172905,0.958722405000608,0.2578757026833175,True,False,False
decision_tree,auprc,wholesale-customers,spe,0.7250406282219407,0.8913461300379264,0.1663055018159857,True,False,False
decision_tree,auprc,wholesale-customers,ubag,0.7250406282219407,0.8804322819115121,0.15539165368957142,True,False,False
decision_tree,auprc,wholesale-customers,obag,0.7250406282219407,0.8827968517428102,0.1577562235208695,True,False,False
decision_tree,auprc,wholesale-customers,sbag,0.7250406282219407,0.8804956139176777,0.155454985695737,True,False,False
decision_tree,macro_f1,Credit_Approval_Classification,spe,0.606928759172569,0.6746211029277271,0.06769234375515809,True,False,False
decision_tree,macro_f1,Credit_Approval_Classification,ubag,0.606928759172569,0.6635900069652088,0.0566612477926397,True,False,False
decision_tree,macro_f1,Credit_Approval_Classification,obag,0.606928759172569,0.6302469558532641,0.023318196680695014,True,False,False
decision_tree,macro_f1,Credit_Approval_Classification,sbag,0.606928759172569,0.6390837046904512,0.032154945517882116,True,False,False
decision_tree,macro_f1,JapaneseVowels,spe,0.9363991632212242,0.978079301960436,0.041680138739211836,True,False,False
decision_tree,macro_f1,JapaneseVowels,ubag,0.9363991632212242,0.9262855495927003,-0.010113613628523921,False,False,True
decision_tree,macro_f1,JapaneseVowels,obag,0.9363991632212242,0.9545246527100465,0.01812548948882231,True,False,False
decision_tree,macro_f1,JapaneseVowels,sbag,0.9363991632212242,0.9580127342035525,0.0216135709823283,True,False,False
decision_tree,macro_f1,SPECTF,spe,0.8191030081024128,0.882704218923305,0.0636012108208922,True,False,False
decision_tree,macro_f1,SPECTF,ubag,0.8191030081024128,0.8333551020615262,0.014252093959113421,True,False,False
decision_tree,macro_f1,SPECTF,obag,0.8191030081024128,0.8665869191617748,0.047483911059362005,True,False,False
decision_tree,macro_f1,SPECTF,sbag,0.8191030081024128,0.8477706006901098,0.02866759258769702,True,False,False
decision_tree,macro_f1,adult,spe,0.7284229684951752,0.7663182172444845,0.037895248749309274,True,False,False
decision_tree,macro_f1,adult,ubag,0.7284229684951752,0.7650381542479423,0.03661518575276712,True,False,False
decision_tree,macro_f1,adult,obag,0.7284229684951752,0.7500299570924831,0.02160698859730792,True,False,False
decision_tree,macro_f1,adult,sbag,0.7284229684951752,0.7514735377876527,0.023050569292477507,True,False,False
decision_tree,macro_f1,bank-marketing,spe,0.7018424778586434,0.751685578091124,0.04984310023248062,True,False,False
decision_tree,macro_f1,bank-marketing,ubag,0.7018424778586434,0.751152884898884,0.04931040704024059,True,False,False
decision_tree,macro_f1,bank-marketing,obag,0.7018424778586434,0.7038090201916609,0.001966542333017518,True,False,False
decision_tree,macro_f1,bank-marketing,sbag,0.7018424778586434,0.7173504640297013,0.015507986171057864,True,False,False
decision_tree,macro_f1,blood-transfusion-service-center,spe,0.5689900746450318,0.6074057444775119,0.038415669832480126,True,False,False
decision_tree,macro_f1,blood-transfusion-service-center,ubag,0.5689900746450318,0.6304805288890819,0.061490454244050086,True,False,False
decision_tree,macro_f1,blood-transfusion-service-center,obag,0.5689900746450318,0.6039884446431082,0.03499836999807637,True,False,False
decision_tree,macro_f1,blood-transfusion-service-center,sbag,0.5689900746450318,0.6045249454747987,0.03553487082976692,True,False,False
decision_tree,macro_f1,haberman,spe,0.5476280803329161,0.5812460295360331,0.033617949203117004,True,False,False
decision_tree,macro_f1,haberman,ubag,0.5476280803329161,0.5769374418158282,0.029309361482912077,True,False,False
decision_tree,macro_f1,haberman,obag,0.5476280803329161,0.5231972844210491,-0.02443079591186703,False,False,True
decision_tree,macro_f1,haberman,sbag,0.5476280803329161,0.5617356996510139,0.014107619318097786,True,False,False
decision_tree,macro_f1,ibm-employee-attrition,spe,0.5954196375962957,0.6321405992531309,0.03672096165683525,True,False,False
decision_tree,macro_f1,ibm-employee-attrition,ubag,0.5954196375962957,0.6669539289281394,0.07153429133184375,True,False,False
decision_tree,macro_f1,ibm-employee-attrition,obag,0.5954196375962957,0.6193083673168791,0.023888729720583424,True,False,False
decision_tree,macro_f1,ibm-employee-attrition,sbag,0.5954196375962957,0.6256998955410366,0.030280257944740874,True,False,False
decision_tree,macro_f1,ilpd-numeric,spe,0.5744120857848488,0.6530835099245247,0.07867142413967587,True,False,False
decision_tree,macro_f1,ilpd-numeric,ubag,0.5744120857848488,0.6455406566230618,0.071128570838213,True,False,False
decision_tree,macro_f1,ilpd-numeric,obag,0.5744120857848488,0.5998453920215627,0.025433306236713915,True,False,False
decision_tree,macro_f1,ilpd-numeric,sbag,0.5744120857848488,0.5864470948174203,0.012035009032571486,True,False,False
decision_tree,macro_f1,kc1,spe,0.6358565817556563,0.6706103457705168,0.03475376401486052,True,False,False
decision_tree,macro_f1,kc1,ubag,0.6358565817556563,0.6445701408434865,0.008713559087830225,True,False,False
decision_tree,macro_f1,kc1,obag,0.6358565817556563,0.6250327191393927,-0.010823862616263558,False,False,True
decision_tree,macro_f1,kc1,sbag,0.6358565817556563,0.6629543306857384,0.0270977489300821,True,False,False
decision_tree,macro_f1,law-school-admission-bianry,spe,1.0,1.0,0.0,False,True,False
decision_tree,macro_f1,law-school-admission-bianry,ubag,1.0,1.0,0.0,False,True,False
decision_tree,macro_f1,law-school-admission-bianry,obag,1.0,1.0,0.0,False,True,False
decision_tree,macro_f1,law-school-admission-bianry,sbag,1.0,1.0,0.0,False,True,False
decision_tree,macro_f1,mc2,spe,0.6166871298569984,0.612764155477709,-0.003922974379289346,False,False,True
decision_tree,macro_f1,mc2,ubag,0.6166871298569984,0.5908249363416221,-0.02586219351537622,False,False,True
decision_tree,macro_f1,mc2,obag,0.6166871298569984,0.6345941812647871,0.0179070514077887,True,False,False
decision_tree,macro_f1,mc2,sbag,0.6166871298569984,0.6942276927422218,0.07754056288522349,True,False,False
decision_tree,macro_f1,pc4,spe,0.7020609870299764,0.7824958159302613,0.08043482890028486,True,False,False
decision_tree,macro_f1,pc4,ubag,0.7020609870299764,0.7707889672934971,0.06872798026352067,True,False,False
decision_tree,macro_f1,pc4,obag,0.7020609870299764,0.7411100193772395,0.03904903234726309,True,False,False
decision_tree,macro_f1,pc4,sbag,0.7020609870299764,0.7469520096897287,0.04489102265975231,True,False,False
decision_tree,macro_f1,phoneme,spe,0.8448177184462802,0.8729526902039165,0.02813497175763635,True,False,False
decision_tree,macro_f1,phoneme,ubag,0.8448177184462802,0.8614824117326186,0.01666469328633846,True,False,False
decision_tree,macro_f1,phoneme,obag,0.8448177184462802,0.8672670779517482,0.022449359505468003,True,False,False
decision_tree,macro_f1,phoneme,sbag,0.8448177184462802,0.8711922246821626,0.026374506235882444,True,False,False
decision_tree,macro_f1,planning-relax,spe,0.43728536829005593,0.4996877508067413,0.062402382516685395,True,False,False
decision_tree,macro_f1,planning-relax,ubag,0.43728536829005593,0.47542683792884743,0.0381414696387915,True,False,False
decision_tree,macro_f1,planning-relax,obag,0.43728536829005593,0.466355422394858,0.029070054104802068,True,False,False
decision_tree,macro_f1,planning-relax,sbag,0.43728536829005593,0.4620050721076591,0.02471970381760319,True,False,False
decision_tree,macro_f1,thoracic-surgery,spe,0.5465839561312009,0.5418228992595093,-0.0047610568716915935,False,False,True
decision_tree,macro_f1,thoracic-surgery,ubag,0.5465839561312009,0.5519019593574419,0.005318003226240986,True,False,False
