classifier,metric,n_datasets,method_a,method_b,wilcoxon_statistic,raw_p_value,holm_p_value,significant_after_holm
decision_tree,macro_f1,20,enn,spe,10.0,0.000624865006410599,0.023120005237192164,True
decision_tree,macro_f1,20,enn,ubag,16.0,0.0014771661952373803,0.05022365063807093,False
decision_tree,macro_f1,20,enn,obag,36.0,0.017582795345746867,0.3692387022606842,False
decision_tree,macro_f1,20,enn,sbag,30.0,0.008903385115881386,0.23148801301291602,False
decision_tree,macro_f1,20,enn,cost,59.0,0.1474161990774467,1.0,False
decision_tree,macro_f1,20,tomek,smote,51.0,0.07661792341167123,1.0,False
decision_tree,macro_f1,20,tomek,spe,1.0,0.00015509577279577017,0.006824214003013887,True
decision_tree,macro_f1,20,tomek,ubag,26.0,0.005491205694554839,0.14826255375298064,False
decision_tree,macro_f1,20,tomek,obag,69.0,0.29542405582364173,1.0,False
decision_tree,macro_f1,20,tomek,sbag,35.0,0.015755486091547432,0.3623761801055909,False
decision_tree,macro_f1,20,tomek,cost,89.0,0.8092039689931078,1.0,False
decision_tree,macro_f1,20,smote,spe,18.0,0.0019440584341867799,0.062209869893976956,False
decision_tree,macro_f1,20,smote,ubag,48.0,0.058573296793890506,0.9371727487022481,False
decision_tree,macro_f1,20,smote,obag,89.0,0.8092039689931078,1.0,False
decision_tree,macro_f1,20,smote,sbag,54.0,0.09895736546518985,1.0,False
decision_tree,macro_f1,20,smote,cost,79.0,0.5196565532398361,1.0,False
decision_tree,macro_f1,20,spe,ubag,44.0,0.040135536373545506,0.6823041183502736,False
decision_tree,macro_f1,20,spe,obag,10.0,0.000624865006410599,0.023120005237192164,True
decision_tree,macro_f1,20,spe,sbag,23.0,0.0037622518256999957,0.11286755477099987,False
decision_tree,macro_f1,20,spe,cost,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,macro_f1,20,ubag,obag,50.0,0.07015661401800452,1.0,False
decision_tree,macro_f1,20,ubag,sbag,69.0,0.29542405582364173,1.0,False
