dataset,method,method_family,base_classifier,ensemble_size,tuning_mode,metric,mean_value,std_value,n_folds,mean_fit_seconds
Credit_Approval_Classification,smote,resampling,logistic_regression,10,library_defaults,auprc,0.6070059711854123,0.027344602255562015,5,0.08443412780761714
Credit_Approval_Classification,smote,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.7190476190476189,0.019287918745261527,5,0.08443412780761714
Credit_Approval_Classification,smote,resampling,logistic_regression,10,library_defaults,macro_f1,0.6966736326546672,0.017338887650878994,5,0.08443412780761714
Credit_Approval_Classification,spe,ensemble,decision_tree,10,library_defaults,auprc,0.5375500794034529,0.048979922682028706,5,0.15130620002746578
Credit_Approval_Classification,spe,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.6728571428571428,0.03048409495706694,5,0.15130620002746578
Credit_Approval_Classification,spe,ensemble,decision_tree,10,library_defaults,macro_f1,0.674621102927727,0.030186090840924825,5,0.15130620002746578
Credit_Approval_Classification,spe,ensemble,logistic_regression,10,library_defaults,auprc,0.6170793939017792,0.03756087726248835,5,0.23384537696838376
Credit_Approval_Classification,spe,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.715952380952381,0.027024071741962568,5,0.23384537696838376
Credit_Approval_Classification,spe,ensemble,logistic_regression,10,library_defaults,macro_f1,0.6984049619389459,0.02825591076241518,5,0.23384537696838376
Credit_Approval_Classification,tomek,resampling,decision_tree,10,library_defaults,auprc,0.39193334276845154,0.0284489333328314,5,0.08425655364990228
Credit_Approval_Classification,tomek,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.6371428571428572,0.030274162966309377,5,0.08425655364990228
Credit_Approval_Classification,tomek,resampling,decision_tree,10,library_defaults,macro_f1,0.631224630887236,0.030052901882530084,5,0.08425655364990228
Credit_Approval_Classification,tomek,resampling,logistic_regression,10,library_defaults,auprc,0.612151201201012,0.029390327182345917,5,0.08308544158935542
Credit_Approval_Classification,tomek,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.6811904761904761,0.013426544933211092,5,0.08308544158935542
Credit_Approval_Classification,tomek,resampling,logistic_regression,10,library_defaults,macro_f1,0.687278976619359,0.014460055457499838,5,0.08308544158935542
Credit_Approval_Classification,ubag,ensemble,decision_tree,10,library_defaults,auprc,0.5403411326217918,0.03288718836620274,5,0.14366126060485834
Credit_Approval_Classification,ubag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.6673809523809524,0.05730755036466128,5,0.14366126060485834
Credit_Approval_Classification,ubag,ensemble,decision_tree,10,library_defaults,macro_f1,0.6635900069652088,0.053127722680296,5,0.14366126060485834
Credit_Approval_Classification,ubag,ensemble,logistic_regression,10,library_defaults,auprc,0.6007713396146499,0.026715080274961316,5,0.22143177986145016
Credit_Approval_Classification,ubag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.7188095238095238,0.027630847233135313,5,0.22143177986145016
Credit_Approval_Classification,ubag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.6948429475778295,0.027247950636356048,5,0.22143177986145016
JapaneseVowels,base,baseline,decision_tree,10,library_defaults,auprc,0.7896276302682546,0.04196120555004007,5,0.19264307022094726
JapaneseVowels,base,baseline,decision_tree,10,library_defaults,balanced_accuracy,0.9339810269387676,0.019217862563517936,5,0.19264307022094726
JapaneseVowels,base,baseline,decision_tree,10,library_defaults,macro_f1,0.9363991632212244,0.013862897319484311,5,0.19264307022094726
JapaneseVowels,base,baseline,logistic_regression,10,library_defaults,auprc,0.9654171985403863,0.004971102393515569,5,0.051086330413818305
JapaneseVowels,base,baseline,logistic_regression,10,library_defaults,balanced_accuracy,0.9409123851471248,0.014942226261364442,5,0.051086330413818305
JapaneseVowels,base,baseline,logistic_regression,10,library_defaults,macro_f1,0.9502916774436333,0.008872330067976686,5,0.051086330413818305
JapaneseVowels,cost,cost_sensitive,decision_tree,10,library_defaults,auprc,0.8238644570486915,0.03207015349249292,5,1.8692313194274903
JapaneseVowels,cost,cost_sensitive,decision_tree,10,library_defaults,balanced_accuracy,0.9386070776416894,0.014496885489310994,5,1.8692313194274903
JapaneseVowels,cost,cost_sensitive,decision_tree,10,library_defaults,macro_f1,0.9401183097714135,0.012503490976845428,5,1.8692313194274903
JapaneseVowels,cost,cost_sensitive,logistic_regression,10,library_defaults,auprc,0.8825321408055002,0.01955807282661385,5,0.1884461402893066
JapaneseVowels,cost,cost_sensitive,logistic_regression,10,library_defaults,balanced_accuracy,0.9612080160459984,0.013061416346734647,5,0.1884461402893066
JapaneseVowels,cost,cost_sensitive,logistic_regression,10,library_defaults,macro_f1,0.9206716556482778,0.007070377820074498,5,0.1884461402893066
JapaneseVowels,enn,resampling,decision_tree,10,library_defaults,auprc,0.7822053131052726,0.030900351004047543,5,0.2360319137573242
JapaneseVowels,enn,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.9444650749290661,0.0128782213501446,5,0.2360319137573242
JapaneseVowels,enn,resampling,decision_tree,10,library_defaults,macro_f1,0.9345128877834844,0.01011766207952529,5,0.2360319137573242
JapaneseVowels,enn,resampling,logistic_regression,10,library_defaults,auprc,0.9652825802047283,0.004865863912207047,5,0.6445001125335693
JapaneseVowels,enn,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.9462335778075225,0.011838465479321578,5,0.6445001125335693
JapaneseVowels,enn,resampling,logistic_regression,10,library_defaults,macro_f1,0.9511911928299253,0.006287486456117629,5,0.6445001125335693
JapaneseVowels,obag,ensemble,decision_tree,10,library_defaults,auprc,0.9686825566452745,0.011032639620384692,5,1.728071403503418
JapaneseVowels,obag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.934698950349323,0.015979064827822093,5,1.728071403503418
JapaneseVowels,obag,ensemble,decision_tree,10,library_defaults,macro_f1,0.9545246527100465,0.011026521003100127,5,1.728071403503418
JapaneseVowels,obag,ensemble,logistic_regression,10,library_defaults,auprc,0.9603514122813257,0.004532405013721964,5,0.4434394359588623
JapaneseVowels,obag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.9699698020933051,0.006328415603177481,5,0.4434394359588623
JapaneseVowels,obag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.9055303327795517,0.008186301135445129,5,0.4434394359588623
JapaneseVowels,rus,resampling,decision_tree,10,library_defaults,auprc,0.5683721727593903,0.06513603884325134,5,0.052439451217651346
JapaneseVowels,rus,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.9469030210538577,0.01973704319417724,5,0.052439451217651346
JapaneseVowels,rus,resampling,decision_tree,10,library_defaults,macro_f1,0.8491788475788802,0.02865939268382138,5,0.052439451217651346
JapaneseVowels,rus,resampling,logistic_regression,10,library_defaults,auprc,0.9558102504828982,0.00498372220585727,5,0.043802213668823184
JapaneseVowels,rus,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.9692616223636475,0.006402824344762632,5,0.043802213668823184
JapaneseVowels,rus,resampling,logistic_regression,10,library_defaults,macro_f1,0.9022423249419129,0.00794570831135993,5,0.043802213668823184
JapaneseVowels,sbag,ensemble,decision_tree,10,library_defaults,auprc,0.9688866680294577,0.011459682953237679,5,3.257427453994751
JapaneseVowels,sbag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.9473652384870753,0.014638732848768852,5,3.257427453994751
JapaneseVowels,sbag,ensemble,decision_tree,10,library_defaults,macro_f1,0.9580127342035525,0.010583347487662003,5,3.257427453994751
JapaneseVowels,sbag,ensemble,logistic_regression,10,library_defaults,auprc,0.9603389349119474,0.00440267057587579,5,0.5418240547180175
JapaneseVowels,sbag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.9662616004301856,0.00908546365817225,5,0.5418240547180175
JapaneseVowels,sbag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.9066665930047544,0.009920226157774737,5,0.5418240547180175
JapaneseVowels,smote,resampling,decision_tree,10,library_defaults,auprc,0.7934431234967232,0.040508572341144966,5,0.6723579406738281
JapaneseVowels,smote,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.9519614982928506,0.01826867036917893,5,0.6723579406738281
JapaneseVowels,smote,resampling,decision_tree,10,library_defaults,macro_f1,0.9380574368741952,0.0128712953726625,5,0.6723579406738281
JapaneseVowels,smote,resampling,logistic_regression,10,library_defaults,auprc,0.9607630943827103,0.004844448558314694,5,0.07955226898193356
JapaneseVowels,smote,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.9642670969307454,0.008900245658222146,5,0.07955226898193356
JapaneseVowels,smote,resampling,logistic_regression,10,library_defaults,macro_f1,0.9105749506164939,0.006918834611288869,5,0.07955226898193356
JapaneseVowels,spe,ensemble,decision_tree,10,library_defaults,auprc,0.9898879160890548,0.004611256800042723,5,0.25994014739990234
JapaneseVowels,spe,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.9778353246115872,0.011456288206912432,5,0.25994014739990234
JapaneseVowels,spe,ensemble,decision_tree,10,library_defaults,macro_f1,0.978079301960436,0.007209068706729636,5,0.25994014739990234
JapaneseVowels,spe,ensemble,logistic_regression,10,library_defaults,auprc,0.9644958337061886,0.006099487942414091,5,0.1956767082214355
JapaneseVowels,spe,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.9211693387664447,0.01865228077838105,5,0.1956767082214355
JapaneseVowels,spe,ensemble,logistic_regression,10,library_defaults,macro_f1,0.9454935016756949,0.012174926320944092,5,0.1956767082214355
JapaneseVowels,tomek,resampling,decision_tree,10,library_defaults,auprc,0.7678743945130486,0.030569395713734876,5,0.26213717460632324
JapaneseVowels,tomek,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.9298880181295756,0.012020674565180044,5,0.26213717460632324
JapaneseVowels,tomek,resampling,decision_tree,10,library_defaults,macro_f1,0.929605115480857,0.010047810447682026,5,0.26213717460632324
JapaneseVowels,tomek,resampling,logistic_regression,10,library_defaults,auprc,0.9653926010036414,0.004951316718510234,5,0.38251590728759766
JapaneseVowels,tomek,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.9415534107881506,0.01592415131653811,5,0.38251590728759766
JapaneseVowels,tomek,resampling,logistic_regression,10,library_defaults,macro_f1,0.9506629563687505,0.009397768841020268,5,0.38251590728759766
JapaneseVowels,ubag,ensemble,decision_tree,10,library_defaults,auprc,0.9449606210634395,0.017341908781743964,5,0.3012104511260986
JapaneseVowels,ubag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.9640365150200599,0.009994425838808049,5,0.3012104511260986
JapaneseVowels,ubag,ensemble,decision_tree,10,library_defaults,macro_f1,0.9262855495927003,0.004811886595187582,5,0.3012104511260986
JapaneseVowels,ubag,ensemble,logistic_regression,10,library_defaults,auprc,0.9630571795434409,0.0042167522942560464,5,0.18753170967102045
JapaneseVowels,ubag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.9700156040686739,0.007746073584511964,5,0.18753170967102045
JapaneseVowels,ubag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.9031163243517135,0.009511400583782399,5,0.18753170967102045
SPECTF,base,baseline,decision_tree,10,library_defaults,auprc,0.6123376623376624,0.04976291334811452,5,0.02019748687744136
SPECTF,base,baseline,decision_tree,10,library_defaults,balanced_accuracy,0.8396635706914344,0.029959322526739107,5,0.02019748687744136
SPECTF,base,baseline,decision_tree,10,library_defaults,macro_f1,0.8191030081024128,0.02939176555048756,5,0.02019748687744136
SPECTF,base,baseline,logistic_regression,10,library_defaults,auprc,0.7498602222953779,0.10570912317600197,5,0.02562742233276364
SPECTF,base,baseline,logistic_regression,10,library_defaults,balanced_accuracy,0.7640330237358101,0.06078462489911434,5,0.02562742233276364
SPECTF,base,baseline,logistic_regression,10,library_defaults,macro_f1,0.7684041892060468,0.06129906203806652,5,0.02562742233276364
SPECTF,cost,cost_sensitive,decision_tree,10,library_defaults,auprc,0.6658548998605708,0.06935716242627804,5,0.0915155410766601
SPECTF,cost,cost_sensitive,decision_tree,10,library_defaults,balanced_accuracy,0.8344004127966975,0.03168497481350435,5,0.0915155410766601
SPECTF,cost,cost_sensitive,decision_tree,10,library_defaults,macro_f1,0.8145272122516983,0.020866219383494065,5,0.0915155410766601
SPECTF,cost,cost_sensitive,logistic_regression,10,library_defaults,auprc,0.6559333380276752,0.10878182233548626,5,0.07959794998168941
SPECTF,cost,cost_sensitive,logistic_regression,10,library_defaults,balanced_accuracy,0.7784127966976264,0.06738117920205412,5,0.07959794998168941
SPECTF,cost,cost_sensitive,logistic_regression,10,library_defaults,macro_f1,0.7627297613880207,0.06343141696549562,5,0.07959794998168941
